epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4103125,1.7432897730668386,0.5121992,1.4456928394695017
1,0.6525,1.0367321519056956,0.62215906,1.1052308685001841
2,0.69322914,0.8910108548402786,0.6180648,1.0990744280942621
3,0.7260417,0.7943716877698899,0.58313835,1.1728739515345363
4,0.73885417,0.7488874786098798,0.5625,1.223450545321174
5,0.7582292,0.6996621291836103,0.5293282,1.3326931500179882
6,0.7636458,0.6816111556688944,0.50217247,1.4098973025612653
7,0.7654167,0.6748602918783824,0.47652072,1.482668968445477
8,0.76958334,0.6590536972880363,0.4736798,1.509122159391801
9,0.7729167,0.6547980827093124,0.47459894,1.51090914106624
10,0.77625,0.6543354414900144,0.48103276,1.485560440124675
11,0.7725,0.6492745454112688,0.5075201,1.4071713736988007
12,0.775,0.6388527599970499,0.5445354,1.2988882211440387
13,0.7696875,0.6578278627494971,0.5792948,1.1802977234284509
14,0.7660417,0.6641384319464365,0.6263369,1.0399982189749652
15,0.76416665,0.670218159755071,0.67296124,0.9177941358025699
16,0.7740625,0.6373216132322947,0.7181651,0.8062860019066754
17,0.77208334,0.6461340807378292,0.75434494,0.7104920137693538
18,0.775625,0.6476672655344009,0.77924466,0.6341583014809512
19,0.77375,0.6459069338440895,0.79603946,0.5839984525333751
20,0.77177083,0.6440618294974169,0.81091243,0.545036510031491
21,0.77125,0.648866674999396,0.81901735,0.5289648994405002
22,0.77239585,0.647742356210947,0.8202707,0.5163181577933663
23,0.7757292,0.6443516379098098,0.8275401,0.49825174030773145
24,0.77375,0.6559114719927311,0.8283757,0.4880111392806558
25,0.77760416,0.6442705991367499,0.8336397,0.4794222580239097
26,0.77947915,0.6261474750439326,0.83464235,0.4749742512078209
27,0.7679167,0.6573820132017135,0.8356451,0.47100750392771024
28,0.7738542,0.6505625902613004,0.83514374,0.4711723042363152
29,0.78010416,0.6331921114524206,0.8353108,0.4705931306841539
