epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7426042,0.7518896834055583,0.80655956,0.5121132546567662
1,0.8334375,0.47910594202578066,0.8546687,0.40874700367769456
2,0.8573958,0.4134938166042169,0.84847724,0.4201944210631325
3,0.8719792,0.37451674131055673,0.87140226,0.3589503333211583
4,0.8811561,0.345113532969072,0.88094044,0.3236552268904161
5,0.87822914,0.3440382136652867,0.8883869,0.30736931066780804
6,0.8925,0.31562422174960375,0.8847055,0.3230393557226594
7,0.88960767,0.3144031946915816,0.90420014,0.27127052903334725
8,0.8946875,0.29640012531230847,0.90102077,0.2677985132537424
9,0.8921875,0.2993607334047556,0.8995984,0.27357147347162114
10,0.8989583,0.28323318796853225,0.9052878,0.264191062254383
11,0.90416664,0.2731482891490062,0.9075469,0.2594815885877227
12,0.91041666,0.25397350007047254,0.89449465,0.28571420633059774
13,0.9088542,0.26387764037276307,0.9089692,0.25961356275381253
14,0.9033333,0.26599574126303194,0.90863454,0.2447740493770589
15,0.9109375,0.2574169653778275,0.9100569,0.2525706851585982
16,0.9119366,0.24128189993919633,0.9144913,0.23728630512474694
17,0.9144792,0.2396270537128051,0.92294174,0.215063138441606
18,0.91791666,0.2315831405048569,0.916081,0.23769037222320383
19,0.9196875,0.22714215569198132,0.92252344,0.21194539792875555
20,0.91791666,0.23246864513804516,0.92043173,0.21587830662408614
21,0.9165625,0.23673258580267428,0.9207664,0.21269241094907976
22,0.92122287,0.21848111307382184,0.9221051,0.21649312682170918
23,0.92372704,0.2183923778218996,0.9105589,0.25681984109833916
24,0.92895836,0.20431053907300034,0.9262885,0.2000919813937682
25,0.9294792,0.2015558765704433,0.9258701,0.20600908167939136
26,0.92125,0.22210397641484936,0.92503345,0.20348321439270028
27,0.9219792,0.22238809152195851,0.92879856,0.1950675597125515
28,0.9376042,0.18099069054548939,0.9216031,0.20995086290061793
29,0.9351042,0.19517771946576734,0.92218876,0.21662475754392338
30,0.9359375,0.19506909070536493,0.92034805,0.21256549791856247
31,0.92864585,0.19625261204317213,0.92085004,0.2212231450061747
32,0.93186563,0.19084548402907256,0.9310576,0.19399421283586776
33,0.9322917,0.19263034279768665,0.92218876,0.22674244351406148
34,0.9397917,0.16897848817519845,0.93139225,0.19245723238523632
35,0.9396875,0.17553407754128178,0.91122824,0.2503358881103801
36,0.93854165,0.17607813350856305,0.9296352,0.19865875991987672
37,0.93489146,0.18272313511058166,0.9235274,0.2041064232866713
38,0.93583333,0.18313506126403808,0.92712516,0.19772105369179008
39,0.93916947,0.1744858399220122,0.9306392,0.20242539735481063
40,0.9425,0.16447510412273308,0.92193776,0.22062084776035604
41,0.9429167,0.16846460322849452,0.92269075,0.22601829716228547
42,0.939375,0.16899104392156006,0.93164325,0.19072241873983392
